"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"725",4.10657119941597e-07,0.645319163822966,0.487,0.287,0.00960937660663337,"37","H2-Eb1"
"726",2.11716404447976e-06,0.655835131940858,0.549,0.364,0.0495416386408264,"37","H2-Aa"
"727",2.37838374719885e-06,0.658077603457233,0.363,0.197,0.0556541796844532,"37","Lilrb4"
"728",7.04961720190574e-06,0.451844702480945,0.726,0.58,0.164961042524594,"37","Ctss"
"729",2.25869843916329e-05,0.40062081126857,0.566,0.375,0.52853543476421,"37","Fcer1g"
"730",0.000125113053454662,0.579974426528316,0.389,0.255,1,"37","Id2"
"731",0.000211209026959982,0.567773985190311,0.513,0.378,1,"37","H2-Ab1"
"732",0.000219965494160916,0.702639144639914,0.265,0.147,1,"37","Ccl9"
"733",0.000403789950228738,0.520388579283247,0.265,0.15,1,"37","F7"
"734",0.000554628985483403,0.391379783153818,0.451,0.3,1,"37","C1qb"
"735",0.000588475813628507,0.403034211332688,0.602,0.473,1,"37","Cd74"
"736",0.000662497368395235,0.404818733701669,0.611,0.504,1,"37","Gpx1"
"737",0.000701483483726552,0.556460663904589,0.46,0.354,1,"37","Dbi"
"738",0.000713017693849602,0.463003773088932,0.327,0.203,1,"37","Actr3"
"739",0.00125828066394651,0.383580786201195,0.398,0.271,1,"37","Alox5ap"
"740",0.00267701022688022,0.467964800019156,0.602,0.488,1,"37","Spp1"
"741",0.0037094750582181,0.435819049397893,0.345,0.233,1,"37","Slfn2"
"742",0.00440183252714679,0.465131577945992,0.257,0.16,1,"37","Cd53"
"743",0.0050273797475023,0.41862661313063,0.31,0.211,1,"37","S100a4"
"744",0,3.02128557935789,1,0.014,0,"38","Ch25h"
"745",1.18164499962035e-34,1.30459528836639,0.826,0.359,2.76504929911161e-30,"38","Chi3l3"
"746",8.33519691965986e-32,1.20992220489411,0.862,0.441,1.95043607920041e-27,"38","Ccl6"
"747",9.75569635122072e-26,1.17189764058954,0.339,0.074,2.28283294618565e-21,"38","Il18"
"748",6.26150903330039e-24,1.11101159589052,0.486,0.147,1.46519311379229e-19,"38","1100001G20Rik"
"749",2.19957103763633e-23,1.19126598904741,0.284,0.06,5.146996228069e-19,"38","Klhdc4"
"750",1.24952538404762e-22,1.21804052555623,0.349,0.087,2.92388939867143e-18,"38","Ctsk"
"751",3.44578876747628e-19,0.984076713617249,0.486,0.171,8.06314571589449e-15,"38","Atp6v0d2"
"752",4.14535687715056e-19,0.922411711070254,0.743,0.42,9.70013509253231e-15,"38","Cd9"
"753",5.05889659158283e-19,1.02101747738549,0.257,0.057,1.18378180243038e-14,"38","Ms4a8a"
"754",2.08478677644156e-16,1.29612719179122,0.266,0.068,4.87840105687326e-12,"38","Car4"
"755",7.63321262002219e-15,1.11347360751851,0.294,0.087,1.78617175308519e-10,"38","1600029D21Rik"
"756",9.04996602856829e-14,0.928213525068486,0.294,0.089,2.11769205068498e-09,"38","1810033B17Rik"
"757",1.01453741945538e-13,0.94893836122937,0.394,0.15,2.37401756152559e-09,"38","F7"
"758",3.43192321826234e-13,0.945113119181053,0.303,0.098,8.03070033073388e-09,"38","Abcg1"
"759",3.73355642493188e-13,0.915364388020566,0.468,0.208,8.7365220343406e-09,"38","Mpeg1"
"760",2.59474504329634e-09,0.857384709373507,0.339,0.148,6.07170340131343e-05,"38","Pld3"
"761",3.04435201600252e-09,0.93315405838639,0.367,0.164,7.12378371744589e-05,"38","Plek"
"762",6.21891836302122e-09,0.955570675238226,0.349,0.155,0.000145522689694697,"38","Cd44"
"763",1.0872207932482e-06,0.909686677063719,0.312,0.156,0.0254409665620079,"38","Plin2"
"764",0,2.87261025198192,0.889,0.019,0,"39","Vwf"
"765",7.14984705472856e-07,0.769754100380918,0.756,0.442,0.0167306421080648,"39","Ccl6"
"766",4.63191312863183e-06,0.958356998248578,0.378,0.15,0.108386767209985,"39","F7"
"767",4.67313665373224e-06,0.574557417175606,0.867,0.58,0.109351397697334,"39","Ctss"
"768",5.24327715074349e-06,0.704316488469399,0.733,0.488,0.122692685327398,"39","Spp1"
"769",1.0826313820444e-05,0.880753280131854,0.4,0.164,0.253335743398389,"39","Ear2"
"770",3.57855874962784e-05,0.706521787386263,0.644,0.421,0.837382747412915,"39","Cd9"
"771",0.000108764902635445,0.563850224967746,0.711,0.495,1,"39","Ctsd"
"772",0.000141059520543538,0.586677999692361,0.6,0.36,1,"39","Chi3l3"
"773",0.000335503285863753,0.694673817862329,0.556,0.377,1,"39","Cyba"
"774",0.000335518083930287,0.390301264727999,0.933,0.85,1,"39","Lyz2"
"775",0.000611246213219126,0.639246909983329,0.533,0.347,1,"39","Ftl1"
"776",0.000631007419628031,0.663633005169628,0.489,0.304,1,"39","Sat1"
"777",0.000714171104723358,0.548488022927499,0.667,0.504,1,"39","Gpx1"
"778",0.000760022800450746,0.797097620337623,0.378,0.2,1,"39","Cd68"
"779",0.00176108218257174,0.822750529224245,0.333,0.172,1,"39","Atp6v0d2"
"780",0.00438903528126422,0.733678614661562,0.289,0.148,1,"39","1100001G20Rik"
"781",0.00461265468286446,0.570892554466728,0.556,0.376,1,"39","Fcer1g"
"782",0.0057981369830339,0.703584386937077,0.467,0.326,1,"39","Ctsl"
"783",0.00706022101587919,0.375610366663704,0.6,0.405,1,"39","Lgals3"
